sample_id,group,label,source_split,split
cauliflower_6.csv::w1,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
cauliflower_6.csv::w2,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
cauliflower_6.csv::w3,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
cauliflower_6.csv::w4,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
cauliflower_6.csv::w5,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
cauliflower_6.csv::w6,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
cauliflower_6.csv::w7,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
cauliflower_6.csv::w8,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
chamomile_6.csv::w0,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w1,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w2,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w3,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w4,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w5,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w6,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w7,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chamomile_6.csv::w8,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,test,test
chervil_6.csv::w0,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w1,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w2,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w3,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w4,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w5,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w6,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w7,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chervil_6.csv::w8,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,test,test
chestnuts_6.csv::w0,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w1,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w2,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w3,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w4,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w5,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w6,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w7,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chestnuts_6.csv::w8,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,test,test
chives_6.csv::w0,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w1,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w2,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w3,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w4,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w5,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w6,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w7,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
chives_6.csv::w8,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,test,test
cinnamon_6.csv::w0,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w1,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w2,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w3,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w4,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w5,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w6,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w7,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cinnamon_6.csv::w8,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test,test
cloves_6.csv::w0,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w1,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w2,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w3,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w4,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w5,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w6,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w7,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
cloves_6.csv::w8,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,test,test
coriander_6.csv::w0,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w1,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w2,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w3,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w4,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w5,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w6,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w7,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
coriander_6.csv::w8,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,test,test
cumin_6.csv::w0,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w1,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w2,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w3,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w4,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w5,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w6,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w7,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
cumin_6.csv::w8,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,test,test
dill_6.csv::w0,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w1,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w2,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w3,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w4,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w5,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w6,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w7,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
dill_6.csv::w8,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,test,test
garlic_6.csv::w0,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w1,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w2,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w3,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w4,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w5,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w6,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w7,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
garlic_6.csv::w8,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,test,test
ginger_6.csv::w0,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w1,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w2,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w3,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w4,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w5,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w6,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w7,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
ginger_6.csv::w8,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,test,test
hazelnut_6.csv::w0,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w1,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w2,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w3,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w4,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w5,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w6,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w7,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
hazelnut_6.csv::w8,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test,test
kiwi_6.csv::w0,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w1,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w2,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w3,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w4,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w5,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w6,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w7,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
kiwi_6.csv::w8,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test,test
lemon_6.csv::w0,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w1,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w2,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w3,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w4,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w5,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w6,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w7,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
lemon_6.csv::w8,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,test,test
mandarin_orange_6.csv::w0,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w1,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w2,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w3,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w4,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w5,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w6,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w7,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mandarin_orange_6.csv::w8,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,test,test
mango_6.csv::w0,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
mango_6.csv::w1,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
mango_6.csv::w2,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
mango_6.csv::w3,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
mango_6.csv::w4,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
mango_6.csv::w5,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
mango_6.csv::w6,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
mango_6.csv::w7,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,test,test
