sample_id,group,label,split
coriander_6.csv::w1,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,val
coriander_6.csv::w2,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,val
coriander_6.csv::w3,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,val
coriander_6.csv::w4,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,val
coriander_6.csv::w5,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,val
coriander_6.csv::w6,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,val
cumin_6.csv::w0,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,val
cumin_6.csv::w1,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,val
cumin_6.csv::w2,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,val
cumin_6.csv::w3,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,val
cumin_6.csv::w4,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,val
cumin_6.csv::w5,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,val
cumin_6.csv::w6,data\raw\SmellNet\base_data\testing\cumin\cumin_6.csv,cumin,val
dill_6.csv::w0,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,train
dill_6.csv::w1,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,train
dill_6.csv::w2,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,train
dill_6.csv::w3,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,train
dill_6.csv::w4,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,train
dill_6.csv::w5,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,train
dill_6.csv::w6,data\raw\SmellNet\base_data\testing\dill\dill_6.csv,dill,train
garlic_6.csv::w0,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,val
garlic_6.csv::w1,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,val
garlic_6.csv::w2,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,val
garlic_6.csv::w3,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,val
garlic_6.csv::w4,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,val
garlic_6.csv::w5,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,val
garlic_6.csv::w6,data\raw\SmellNet\base_data\testing\garlic\garlic_6.csv,garlic,val
ginger_6.csv::w0,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,val
ginger_6.csv::w1,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,val
ginger_6.csv::w2,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,val
ginger_6.csv::w3,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,val
ginger_6.csv::w4,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,val
ginger_6.csv::w5,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,val
ginger_6.csv::w6,data\raw\SmellNet\base_data\testing\ginger\ginger_6.csv,ginger,val
hazelnut_6.csv::w0,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test
hazelnut_6.csv::w1,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test
hazelnut_6.csv::w2,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test
hazelnut_6.csv::w3,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test
hazelnut_6.csv::w4,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test
hazelnut_6.csv::w5,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test
hazelnut_6.csv::w6,data\raw\SmellNet\base_data\testing\hazelnut\hazelnut_6.csv,hazelnut,test
kiwi_6.csv::w0,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test
kiwi_6.csv::w1,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test
kiwi_6.csv::w2,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test
kiwi_6.csv::w3,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test
kiwi_6.csv::w4,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test
kiwi_6.csv::w5,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test
kiwi_6.csv::w6,data\raw\SmellNet\base_data\testing\kiwi\kiwi_6.csv,kiwi,test
lemon_6.csv::w0,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,train
lemon_6.csv::w1,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,train
lemon_6.csv::w2,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,train
lemon_6.csv::w3,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,train
lemon_6.csv::w4,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,train
lemon_6.csv::w5,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,train
lemon_6.csv::w6,data\raw\SmellNet\base_data\testing\lemon\lemon_6.csv,lemon,train
mandarin_orange_6.csv::w0,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,train
mandarin_orange_6.csv::w1,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,train
mandarin_orange_6.csv::w2,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,train
mandarin_orange_6.csv::w3,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,train
mandarin_orange_6.csv::w4,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,train
mandarin_orange_6.csv::w5,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,train
mandarin_orange_6.csv::w6,data\raw\SmellNet\base_data\testing\mandarin_orange\mandarin_orange_6.csv,mandarin_orange,train
mango_6.csv::w0,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,train
mango_6.csv::w1,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,train
mango_6.csv::w2,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,train
mango_6.csv::w3,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,train
mango_6.csv::w4,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,train
mango_6.csv::w5,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,train
mango_6.csv::w6,data\raw\SmellNet\base_data\testing\mango\mango_6.csv,mango,train
mint_6.csv::w0,data\raw\SmellNet\base_data\testing\mint\mint_6.csv,mint,train
mint_6.csv::w1,data\raw\SmellNet\base_data\testing\mint\mint_6.csv,mint,train
mint_6.csv::w2,data\raw\SmellNet\base_data\testing\mint\mint_6.csv,mint,train
mint_6.csv::w3,data\raw\SmellNet\base_data\testing\mint\mint_6.csv,mint,train
mint_6.csv::w4,data\raw\SmellNet\base_data\testing\mint\mint_6.csv,mint,train
mint_6.csv::w5,data\raw\SmellNet\base_data\testing\mint\mint_6.csv,mint,train
mint_6.csv::w6,data\raw\SmellNet\base_data\testing\mint\mint_6.csv,mint,train
mugwort_6.csv::w0,data\raw\SmellNet\base_data\testing\mugwort\mugwort_6.csv,mugwort,val
mugwort_6.csv::w1,data\raw\SmellNet\base_data\testing\mugwort\mugwort_6.csv,mugwort,val
mugwort_6.csv::w2,data\raw\SmellNet\base_data\testing\mugwort\mugwort_6.csv,mugwort,val
mugwort_6.csv::w3,data\raw\SmellNet\base_data\testing\mugwort\mugwort_6.csv,mugwort,val
mugwort_6.csv::w4,data\raw\SmellNet\base_data\testing\mugwort\mugwort_6.csv,mugwort,val
mugwort_6.csv::w5,data\raw\SmellNet\base_data\testing\mugwort\mugwort_6.csv,mugwort,val
mugwort_6.csv::w6,data\raw\SmellNet\base_data\testing\mugwort\mugwort_6.csv,mugwort,val
mustard_6.csv::w0,data\raw\SmellNet\base_data\testing\mustard\mustard_6.csv,mustard,val
mustard_6.csv::w1,data\raw\SmellNet\base_data\testing\mustard\mustard_6.csv,mustard,val
mustard_6.csv::w2,data\raw\SmellNet\base_data\testing\mustard\mustard_6.csv,mustard,val
mustard_6.csv::w3,data\raw\SmellNet\base_data\testing\mustard\mustard_6.csv,mustard,val
mustard_6.csv::w4,data\raw\SmellNet\base_data\testing\mustard\mustard_6.csv,mustard,val
mustard_6.csv::w5,data\raw\SmellNet\base_data\testing\mustard\mustard_6.csv,mustard,val
mustard_6.csv::w6,data\raw\SmellNet\base_data\testing\mustard\mustard_6.csv,mustard,val
nutmeg_6.csv::w0,data\raw\SmellNet\base_data\testing\nutmeg\nutmeg_6.csv,nutmeg,train
nutmeg_6.csv::w1,data\raw\SmellNet\base_data\testing\nutmeg\nutmeg_6.csv,nutmeg,train
nutmeg_6.csv::w2,data\raw\SmellNet\base_data\testing\nutmeg\nutmeg_6.csv,nutmeg,train
nutmeg_6.csv::w3,data\raw\SmellNet\base_data\testing\nutmeg\nutmeg_6.csv,nutmeg,train
nutmeg_6.csv::w4,data\raw\SmellNet\base_data\testing\nutmeg\nutmeg_6.csv,nutmeg,train
nutmeg_6.csv::w5,data\raw\SmellNet\base_data\testing\nutmeg\nutmeg_6.csv,nutmeg,train
nutmeg_6.csv::w6,data\raw\SmellNet\base_data\testing\nutmeg\nutmeg_6.csv,nutmeg,train
oregano_6.csv::w0,data\raw\SmellNet\base_data\testing\oregano\oregano_6.csv,oregano,test
oregano_6.csv::w1,data\raw\SmellNet\base_data\testing\oregano\oregano_6.csv,oregano,test
oregano_6.csv::w2,data\raw\SmellNet\base_data\testing\oregano\oregano_6.csv,oregano,test
oregano_6.csv::w3,data\raw\SmellNet\base_data\testing\oregano\oregano_6.csv,oregano,test
oregano_6.csv::w4,data\raw\SmellNet\base_data\testing\oregano\oregano_6.csv,oregano,test
oregano_6.csv::w5,data\raw\SmellNet\base_data\testing\oregano\oregano_6.csv,oregano,test
oregano_6.csv::w6,data\raw\SmellNet\base_data\testing\oregano\oregano_6.csv,oregano,test
peach_6.csv::w0,data\raw\SmellNet\base_data\testing\peach\peach_6.csv,peach,train
peach_6.csv::w1,data\raw\SmellNet\base_data\testing\peach\peach_6.csv,peach,train
peach_6.csv::w2,data\raw\SmellNet\base_data\testing\peach\peach_6.csv,peach,train
peach_6.csv::w3,data\raw\SmellNet\base_data\testing\peach\peach_6.csv,peach,train
peach_6.csv::w4,data\raw\SmellNet\base_data\testing\peach\peach_6.csv,peach,train
peach_6.csv::w5,data\raw\SmellNet\base_data\testing\peach\peach_6.csv,peach,train
peach_6.csv::w6,data\raw\SmellNet\base_data\testing\peach\peach_6.csv,peach,train
peanuts_6.csv::w0,data\raw\SmellNet\base_data\testing\peanuts\peanuts_6.csv,peanuts,train
peanuts_6.csv::w1,data\raw\SmellNet\base_data\testing\peanuts\peanuts_6.csv,peanuts,train
peanuts_6.csv::w2,data\raw\SmellNet\base_data\testing\peanuts\peanuts_6.csv,peanuts,train
peanuts_6.csv::w3,data\raw\SmellNet\base_data\testing\peanuts\peanuts_6.csv,peanuts,train
peanuts_6.csv::w4,data\raw\SmellNet\base_data\testing\peanuts\peanuts_6.csv,peanuts,train
peanuts_6.csv::w5,data\raw\SmellNet\base_data\testing\peanuts\peanuts_6.csv,peanuts,train
peanuts_6.csv::w6,data\raw\SmellNet\base_data\testing\peanuts\peanuts_6.csv,peanuts,train
pear_6.csv::w0,data\raw\SmellNet\base_data\testing\pear\pear_6.csv,pear,train
pear_6.csv::w1,data\raw\SmellNet\base_data\testing\pear\pear_6.csv,pear,train
pear_6.csv::w2,data\raw\SmellNet\base_data\testing\pear\pear_6.csv,pear,train
pear_6.csv::w3,data\raw\SmellNet\base_data\testing\pear\pear_6.csv,pear,train
pear_6.csv::w4,data\raw\SmellNet\base_data\testing\pear\pear_6.csv,pear,train
pear_6.csv::w5,data\raw\SmellNet\base_data\testing\pear\pear_6.csv,pear,train
pear_6.csv::w6,data\raw\SmellNet\base_data\testing\pear\pear_6.csv,pear,train
pecans_6.csv::w0,data\raw\SmellNet\base_data\testing\pecans\pecans_6.csv,pecans,val
pecans_6.csv::w1,data\raw\SmellNet\base_data\testing\pecans\pecans_6.csv,pecans,val
pecans_6.csv::w2,data\raw\SmellNet\base_data\testing\pecans\pecans_6.csv,pecans,val
pecans_6.csv::w3,data\raw\SmellNet\base_data\testing\pecans\pecans_6.csv,pecans,val
pecans_6.csv::w4,data\raw\SmellNet\base_data\testing\pecans\pecans_6.csv,pecans,val
pecans_6.csv::w5,data\raw\SmellNet\base_data\testing\pecans\pecans_6.csv,pecans,val
pecans_6.csv::w6,data\raw\SmellNet\base_data\testing\pecans\pecans_6.csv,pecans,val
pili_nut_6.csv::w0,data\raw\SmellNet\base_data\testing\pili_nut\pili_nut_6.csv,pili_nut,train
pili_nut_6.csv::w1,data\raw\SmellNet\base_data\testing\pili_nut\pili_nut_6.csv,pili_nut,train
pili_nut_6.csv::w2,data\raw\SmellNet\base_data\testing\pili_nut\pili_nut_6.csv,pili_nut,train
pili_nut_6.csv::w3,data\raw\SmellNet\base_data\testing\pili_nut\pili_nut_6.csv,pili_nut,train
pili_nut_6.csv::w4,data\raw\SmellNet\base_data\testing\pili_nut\pili_nut_6.csv,pili_nut,train
pili_nut_6.csv::w5,data\raw\SmellNet\base_data\testing\pili_nut\pili_nut_6.csv,pili_nut,train
